"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1
"2" 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 1
"3" 0 1 1 1 0 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1
"4" 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0 0 0
"5" 1 1 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1
"6" 0 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 1
"7" 1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0
"8" 0 1 0 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1
"9" 1 1 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 1
"10" 1 0 1 1 0 1 1 1 0 1 0 0 1 0 1 0 1 0 1 1
"11" 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0
"12" 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1
"13" 1 1 0 1 0 1 0 0 1 0 1 0 1 1 1 1 0 0 1 0
"14" 0 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0
"15" 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1
"16" 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 1 1 0
"17" 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0
"18" 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1
"19" 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 1 1 1
"20" 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 1 1
"21" 0 1 0 0 0 1 0 1 0 1 0 1 1 1 1 0 0 1 0 0
"22" 1 1 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 0
"23" 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1
"24" 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 0
"25" 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0
"26" 0 1 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1
"27" 0 1 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 1
"28" 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1 1 1 0 1 1
"29" 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 0 0 0 1
"30" 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1
"31" 1 0 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 1 1 0
"32" 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1
"33" 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0
