"V1" "V2" "V3" "V4" "V5"
"1" 0 0 0 0 0
"2" 0 0 1 1 0
"3" 0 0 0 0 0
"4" 0 0 0 0 0
"5" 0 1 0 0 0
"6" 1 0 0 0 0
"7" 0 0 0 0 0
"8" 0 0 0 1 0
"9" 0 0 1 0 0
"10" 0 0 0 0 0
"11" 0 0 0 0 1
"12" 1 0 1 0 1
"13" 0 0 0 0 0
"14" 0 0 0 0 0
"15" 0 0 0 0 0
"16" 0 0 0 0 0
"17" 0 0 0 0 0
"18" 0 0 0 0 0
"19" 0 1 0 0 0
"20" 0 0 1 0 0
"21" 0 0 0 0 0
"22" 0 0 0 0 0
"23" 0 1 0 0 0
"24" 0 0 0 0 0
"25" 0 1 0 0 1
"26" 0 1 1 0 0
"27" 0 1 0 1 0
"28" 0 0 1 0 1
"29" 0 0 0 0 0
"30" 1 1 0 0 0
"31" 0 0 1 0 0
"32" 1 0 0 0 1
"33" 0 0 1 1 1
"34" 0 0 0 0 0
"35" 1 0 1 0 0
"36" 0 1 0 1 1
"37" 1 0 0 0 1
"38" 1 0 0 1 0
"39" 0 1 0 0 1
"40" 0 0 0 1 0
"41" 0 0 1 0 1
"42" 0 0 0 1 0
"43" 1 1 1 1 1
"44" 0 1 1 0 0
"45" 1 0 0 0 0
"46" 0 0 1 0 0
"47" 1 0 1 1 0
"48" 0 1 0 1 1
"49" 0 0 1 0 0
"50" 0 1 1 0 0
"51" 1 1 0 0 1
"52" 1 1 0 1 0
"53" 1 0 1 1 1
"54" 1 0 1 1 1
"55" 1 0 1 0 0
"56" 0 1 1 1 1
"57" 1 1 1 1 0
"58" 0 0 1 1 1
"59" 0 0 1 0 0
"60" 0 1 0 0 1
"61" 1 0 0 0 1
"62" 0 0 1 1 1
"63" 0 1 1 1 1
"64" 0 1 1 0 1
"65" 0 0 0 1 0
"66" 0 1 1 0 1
"67" 0 1 1 1 0
"68" 1 1 0 0 0
"69" 1 1 1 0 1
"70" 0 1 1 1 1
"71" 1 1 0 0 1
"72" 0 1 0 1 1
"73" 0 0 1 0 1
"74" 1 0 1 0 1
"75" 1 1 1 1 0
"76" 1 1 1 1 1
"77" 1 1 1 0 1
"78" 1 1 1 1 1
"79" 1 1 1 1 0
"80" 1 1 1 1 1
"81" 1 1 1 1 1
"82" 1 1 0 0 1
"83" 1 1 1 1 1
"84" 1 1 1 1 0
"85" 1 1 1 1 1
"86" 1 1 0 1 1
"87" 1 1 1 1 1
"88" 1 1 1 1 0
"89" 1 1 1 1 1
"90" 1 1 1 1 1
"91" 1 0 1 1 1
"92" 1 0 1 0 1
"93" 1 1 1 1 1
"94" 1 1 1 1 1
"95" 1 0 1 1 1
"96" 1 1 1 1 1
"97" 1 1 1 1 1
"98" 1 1 1 0 1
"99" 1 1 1 1 1
"100" 0 1 0 1 1
